＜店舗情報記録部分＞,,青色のセルに記入,,,,　記入にあたってのお願い
店舗名,とんかつ屋,,,,,"写真ファイル名について
メニューの写真ファイル名は、該当する「番号」に一致するようにしてください。  
例:メニュー番号が「1」の場合 → 写真ファイル名は「1.jpg」
写真ファイルは記載のリンク先に保存してください
"
住所,名古屋市OO町,,,,,
責任者名,テスト太郎,,,,,"メニューの説明について
説明文には、以下の内容を具体的に記載してください：  
- 材料（例: 「国産鶏肉」「有機トマト」など）  
- 調理法（必要であれば、例: 「低温でじっくり焼き上げました」）  
- 推奨する食べ方（必要であれば、例: 「熱々の状態で召し上がりください」） 

**避けていただきたい表現:**  
- 「思いを込めて焼きました！」や「どうぞご賞味あれ！」のような感情的な文は控え、
具体性のある説明をお願いします。"
連絡先,000-1234-5678,,,,,
営業担当者,テストじろう,,,,,
,,,,,,
,,,,,,
＜メニュー情報記録部分＞,,"写真ファイルはこちらに格納してください
https://drive.google.com/drive/folders/17V0eNdWMtOc6ciQZZD1u5m0iTlX9gmW-?usp=sharing",,,,"メニューの説明　記入例
例1. カニといくらの海鮮釜飯
釜飯は、小さな釜で一人分ずつ炊き上げる日本の伝統料理です。香り豊かなだしで炊いたご飯に、新鮮なカニといくらをたっぷりと乗せています。全体をよくかき混ぜてからお召し上がりください。"
番号,メニュー名,説明,写真ファイル名,お値段,,
0,（店舗の説明）,日本の伝統的なそば料理を提供する創業100年以上の老舗です。ざるそば（冷たいそば）や温かいそばが選べ、そば粉は地元で収穫されたものを使用しています。職人が丁寧に手打ちした蕎麦は、そば本来の香りと風味が際立っています。特製のつゆはだしから作られ、蕎麦との相性を考えて仕上げています。,,,,"例2. なすの揚げ浸し
柔らかく揚げたナスを、だしの風味豊かな特製醤油だれに漬け込んだ料理です。甘辛い味付けが特徴で、出来立てでも、冷めても美味しくいただけます。刻みねぎとおろし生姜を添えています。"
1, カニといくらの海鮮釜飯,釜飯は、小さな釜で一人分ずつ炊き上げる日本の伝統料理です。香り豊かなだしで炊いたご飯に、新鮮なカニといくらをたっぷりと乗せています。全体をよくかき混ぜてからお召し上がりください。,,,,
2,なすの揚げ浸し,柔らかく揚げたナスを、だしの風味豊かな特製醤油だれに漬け込んだ料理です。甘辛い味付けが特徴で、出来立てでも、冷めても美味しくいただけます。刻みねぎとおろし生姜を添えています。,,,,"例3. 鯖の文化干し
新鮮な鯖を塩漬けにして余分な水分を抜き、風干しで身の味を凝縮させています。それを香ばしく焼き上げ、適度な塩味とふっくらした食感を楽しめる一品です。ご飯との相性が抜群です。"
3,鯖の文化干し,新鮮な鯖を塩漬けにして余分な水分を抜き、風干しで身の味を凝縮させています。それを香ばしく焼き上げ、適度な塩味とふっくらした食感を楽しめる一品です。ご飯との相性が抜群です。,,,,
4,,,,,,"店舗の説明について
メニューのトップに掲載する、お店の魅力や特徴、こだわりやなど簡潔にご記載下さい  

例1 「やまと庵」
日本の伝統的なそば料理を提供する創業100年以上の老舗です。ざるそば（冷たいそば）や温かいそばが選べ、そば粉は地元で収穫されたものを使用しています。職人が丁寧に手打ちした蕎麦は、そば本来の香りと風味が際立っています。特製のつゆはだしから作られ、蕎麦との相性を考えて仕上げています。"
5,,,,,,
6,,,,,,
7,,,,,,"例2 「釜めし亭」
釜飯（小さな釜で炊いたご飯）がメインの和食居酒屋です。
具材は海鮮、肉、野菜など種類豊富で、注文ごとに一釜ずつ丁寧に炊き上げています。炊きたての釜飯は、ふっくらしたご飯と具材の旨味が特徴です。季節限定の釜飯や、お酒に合う一品料理もご用意しています。木の温もりを感じる落ち着いた店内で、気軽に本格的な和食を楽しめます。"
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
